Country,Year,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Finland,2021,1.446,1.106,0.741,0.691,0.124,0.481,3.253
Denmark,2021,1.502,1.108,0.763,0.686,0.208,0.485,2.868
Switzerland,2021,1.566,1.079,0.816,0.653,0.204,0.413,2.839
Iceland,2021,1.482,1.172,0.772,0.698,0.293,0.17,2.967
Netherlands,2021,1.501,1.079,0.753,0.647,0.302,0.384,2.798
Norway,2021,1.543,1.108,0.782,0.703,0.249,0.427,2.58
Sweden,2021,1.478,1.062,0.763,0.685,0.244,0.448,2.683
Luxembourg,2021,1.751,1.003,0.76,0.639,0.166,0.353,2.653
New Zealand,2021,1.4,1.094,0.785,0.665,0.276,0.445,2.612
Austria,2021,1.492,1.062,0.782,0.64,0.215,0.292,2.784
Australia,2021,1.453,1.076,0.801,0.647,0.291,0.317,2.598
Israel,2021,1.376,1.074,0.788,0.509,0.208,0.119,3.083
Germany,2021,1.48,0.993,0.757,0.6,0.195,0.306,2.824
Canada,2021,1.447,1.044,0.798,0.648,0.246,0.335,2.585
Ireland,2021,1.644,1.092,0.753,0.606,0.238,0.367,2.384
Costa Rica,2021,1.134,0.966,0.722,0.673,0.105,0.083,3.387
United Kingdom,2021,1.423,1.062,0.757,0.58,0.34,0.306,2.596
Czech Republic,2021,1.37,1.09,0.703,0.58,0.052,0.046,3.124
United States,2021,1.533,1.03,0.621,0.554,0.252,0.154,2.807
Belgium,2021,1.463,0.998,0.747,0.489,0.088,0.187,2.862
France,2021,1.421,1.081,0.804,0.536,0.092,0.235,2.521
Bahrain,2021,1.409,0.899,0.662,0.661,0.246,0.139,2.631
Malta,2021,1.411,1.055,0.747,0.664,0.275,0.183,2.268
Taiwan Province of China,2021,1.48,0.982,0.665,0.49,0.142,0.139,2.687
United Arab Emirates,2021,1.555,0.86,0.594,0.67,0.236,0.223,2.422
Saudi Arabia,2021,1.435,0.964,0.571,0.603,0.09,0.163,2.668
Spain,2021,1.375,1.057,0.826,0.462,0.135,0.124,2.513
Italy,2021,1.393,0.94,0.798,0.379,0.133,0.047,2.794
Slovenia,2021,1.36,1.093,0.722,0.69,0.122,0.085,2.388
Guatemala,2021,0.845,0.79,0.519,0.638,0.163,0.105,3.375
Uruguay,2021,1.164,1.042,0.649,0.625,0.128,0.223,2.6
Singapore,2021,1.695,1.019,0.897,0.664,0.176,0.547,1.379
Kosovo,2021,0.937,0.807,0.483,0.593,0.356,0.014,3.182
Slovakia,2021,1.304,1.066,0.653,0.468,0.107,0.018,2.714
Brazil,2021,1.028,0.944,0.571,0.514,0.142,0.117,3.015
Mexico,2021,1.126,0.83,0.634,0.585,0.092,0.089,2.961
Jamaica,2021,0.891,0.932,0.599,0.618,0.099,0.035,3.135
Lithuania,2021,1.35,1.065,0.612,0.476,0.056,0.073,2.624
Cyprus,2021,1.377,0.765,0.801,0.464,0.178,0.061,2.578
Estonia,2021,1.344,1.079,0.64,0.641,0.119,0.263,2.103
Panama,2021,1.298,0.976,0.667,0.596,0.079,0.053,2.509
Uzbekistan,2021,0.769,1.027,0.528,0.716,0.391,0.271,2.477
Chile,2021,1.2,0.946,0.678,0.438,0.159,0.07,2.682
Poland,2021,1.309,0.982,0.668,0.558,0.08,0.13,2.438
Kazakhstan,2021,1.23,1.103,0.527,0.573,0.143,0.132,2.446
Romania,2021,1.275,0.832,0.595,0.564,0.045,0.001,2.83
Kuwait,2021,1.461,0.857,0.58,0.591,0.12,0.13,2.368
Serbia,2021,1.101,0.924,0.634,0.482,0.189,0.066,2.682
El Salvador,2021,0.845,0.675,0.565,0.615,0.116,0.16,3.085
Mauritius,2021,1.178,0.996,0.574,0.59,0.153,0.096,2.462
Latvia,2021,1.285,1.047,0.587,0.405,0.082,0.089,2.536
Colombia,2021,1.021,0.866,0.615,0.554,0.1,0.063,2.794
Hungary,2021,1.301,1.083,0.615,0.454,0.067,0.04,2.432
Thailand,2021,1.107,0.957,0.596,0.611,0.375,0.028,2.309
Nicaragua,2021,0.693,0.904,0.604,0.553,0.201,0.176,2.841
Japan,2021,1.389,0.949,0.838,0.504,0.02,0.192,2.048
Argentina,2021,1.162,0.98,0.646,0.544,0.069,0.067,2.461
Portugal,2021,1.323,0.939,0.76,0.621,0.029,0.033,2.225
Honduras,2021,0.703,0.787,0.593,0.578,0.241,0.083,2.934
Croatia,2021,1.251,1.039,0.703,0.453,0.111,0,2.325
Philippines,2021,0.853,0.828,0.426,0.651,0.125,0.126,2.872
South Korea,2021,1.403,0.758,0.801,0.353,0.134,0.135,2.262
Peru,2021,0.986,0.833,0.623,0.536,0.087,0.031,2.744
Bosnia and Herzegovina,2021,1.032,0.919,0.618,0.395,0.261,0.005,2.583
Moldova,2021,0.985,0.888,0.542,0.536,0.137,0.013,2.665
Ecuador,2021,0.935,0.806,0.64,0.56,0.107,0.062,2.653
Kyrgyzstan,2021,0.665,0.971,0.501,0.673,0.266,0.02,2.648
Greece,2021,1.273,0.811,0.76,0.243,0,0.074,2.561
Bolivia,2021,0.842,0.782,0.486,0.6,0.138,0.064,2.805
Mongolia,2021,0.966,1.065,0.442,0.397,0.263,0.053,2.492
Paraguay,2021,0.983,0.97,0.549,0.602,0.206,0.037,2.306
Montenegro,2021,1.155,0.891,0.637,0.397,0.166,0.081,2.254
Dominican Republic,2021,1.106,0.879,0.555,0.581,0.101,0.144,2.178
North Cyprus,2021,1.377,0.806,0.801,0.503,0.196,0.2,1.653
Belarus,2021,1.124,1.007,0.56,0.326,0.07,0.199,2.247
Russia,2021,1.241,0.992,0.511,0.409,0.115,0.06,2.148
Hong Kong S.A.R. of China,2021,1.525,0.841,0.893,0.408,0.232,0.342,1.236
Tajikistan,2021,0.508,0.895,0.498,0.548,0.152,0.247,2.619
Vietnam,2021,0.817,0.873,0.616,0.679,0.124,0.091,2.211
Libya,2021,1.044,0.821,0.435,0.474,0.131,0.174,2.331
Malaysia,2021,1.259,0.797,0.587,0.624,0.27,0.064,1.784
Indonesia,2021,0.954,0.786,0.433,0.598,0.541,0.046,1.987
Congo (Brazzaville),2021,0.518,0.392,0.307,0.381,0.144,0.124,3.476
China,2021,1.061,0.785,0.665,0.636,0.093,0.117,1.982
Ivory Coast,2021,0.669,0.409,0.052,0.438,0.177,0.092,3.469
Armenia,2021,0.996,0.758,0.585,0.54,0.079,0.198,2.127
Nepal,2021,0.519,0.702,0.496,0.488,0.287,0.135,2.642
Bulgaria,2021,1.181,1.055,0.583,0.494,0.125,0.005,1.823
Maldives,2021,1.115,1.015,0.697,0.575,0.204,0.073,1.52
Azerbaijan,2021,1.025,0.841,0.541,0.526,0.043,0.276,1.919
Cameroon,2021,0.543,0.556,0.159,0.425,0.205,0.058,3.195
Senegal,2021,0.518,0.558,0.357,0.381,0.158,0.088,3.071
Albania,2021,1.008,0.529,0.646,0.491,0.168,0.024,2.25
North Macedonia,2021,1.068,0.772,0.535,0.45,0.212,0.022,2.042
Ghana,2021,0.68,0.595,0.287,0.517,0.268,0.058,2.684
Niger,2021,0.162,0.402,0.167,0.516,0.2,0.157,3.47
Turkmenistan,2021,1.046,1.172,0.439,0.602,0.366,0.033,1.409
Gambia,2021,0.367,0.511,0.21,0.384,0.465,0.123,2.99
Benin,2021,0.507,0.058,0.196,0.457,0.166,0.178,3.482
Laos,2021,0.808,0.598,0.33,0.643,0.268,0.179,2.204
Bangladesh,2021,0.635,0.52,0.514,0.603,0.161,0.164,2.427
Guinea,2021,0.42,0.399,0.206,0.384,0.25,0.111,3.216
South Africa,2021,0.967,0.895,0.265,0.447,0.144,0.051,2.187
Turkey,2021,1.26,0.809,0.59,0.236,0.097,0.104,1.852
Pakistan,2021,0.637,0.423,0.322,0.418,0.252,0.097,2.784
Morocco,2021,0.792,0.219,0.558,0.477,0.034,0.088,2.749
Venezuela,2021,0.852,0.897,0.574,0.284,0.078,0.072,2.135
Georgia,2021,1.03,0.47,0.498,0.488,0.032,0.181,2.191
Algeria,2021,0.946,0.765,0.552,0.119,0.144,0.12,2.242
Ukraine,2021,0.979,0.958,0.517,0.417,0.181,0.01,1.813
Iraq,2021,0.91,0.638,0.381,0.302,0.153,0.041,2.429
Gabon,2021,1.037,0.707,0.362,0.424,0.058,0.064,2.201
Burkina Faso,2021,0.364,0.472,0.179,0.381,0.182,0.122,3.133
Cambodia,2021,0.603,0.68,0.426,0.702,0.21,0.061,2.148
Mozambique,2021,0.183,0.634,0.196,0.608,0.228,0.163,2.783
Nigeria,2021,0.663,0.625,0.051,0.433,0.212,0.039,2.736
Mali,2021,0.387,0.59,0.11,0.384,0.164,0.072,3.016
Iran,2021,1.03,0.557,0.561,0.275,0.33,0.144,1.823
Uganda,2021,0.364,0.718,0.24,0.398,0.267,0.054,2.596
Liberia,2021,0.228,0.58,0.253,0.43,0.221,0.057,2.857
Kenya,2021,0.603,0.508,0.385,0.483,0.375,0.073,2.18
Tunisia,2021,0.919,0.515,0.59,0.334,0.057,0.044,2.138
Lebanon,2021,1.045,0.868,0.595,0.175,0.14,0.026,1.736
Namibia,2021,0.882,0.801,0.262,0.411,0.091,0.059,2.068
Palestinian Territories,2021,0.646,0.819,0.434,0.33,0.082,0.075,2.131
Myanmar,2021,0.666,0.713,0.341,0.601,0.52,0.178,1.407
Jordan,2021,0.89,0.685,0.583,0.455,0.079,0.15,1.553
Chad,2021,0.255,0.353,0,0.24,0.215,0.084,3.209
Sri Lanka,2021,0.99,0.82,0.593,0.559,0.239,0.049,1.075
Swaziland,2021,0.849,0.693,0.074,0.323,0.067,0.147,2.155
Comoros,2021,0.488,0.367,0.279,0.202,0.241,0.101,2.61
Egypt,2021,0.954,0.647,0.426,0.446,0.069,0.092,1.648
Ethiopia,2021,0.37,0.679,0.331,0.451,0.241,0.114,2.089
Mauritania,2021,0.666,0.749,0.273,0.218,0.119,0.133,2.069
Madagascar,2021,0.266,0.503,0.341,0.207,0.185,0.087,2.62
Togo,2021,0.254,0.239,0.203,0.289,0.209,0.107,2.806
Zambia,2021,0.528,0.552,0.231,0.487,0.227,0.074,1.975
Sierra Leone,2021,0.279,0.377,0.1,0.408,0.243,0.047,2.396
India,2021,0.741,0.316,0.383,0.622,0.246,0.106,1.405
Burundi,2021,0,0.062,0.155,0.298,0.172,0.212,2.876
Yemen,2021,0.329,0.831,0.272,0.268,0.092,0.089,1.776
Tanzania,2021,0.433,0.54,0.3,0.549,0.307,0.231,1.263
Haiti,2021,0.294,0.173,0.227,0.257,0.463,0.139,2.06
Malawi,2021,0.113,0.168,0.298,0.484,0.213,0.134,2.19
Lesotho,2021,0.451,0.731,0.007,0.405,0.103,0.015,1.8
Botswana,2021,1.099,0.724,0.34,0.539,0.027,0.088,0.648
Rwanda,2021,0.364,0.202,0.407,0.627,0.227,0.493,1.095
Zimbabwe,2021,0.457,0.649,0.243,0.359,0.157,0.075,1.205
Afghanistan,2021,0.37,0,0.126,0,0.122,0.01,1.895
